ID,Income
TEST_0000,1.5558648256294405
TEST_0001,-0.5158714179851596
TEST_0002,435.8229454879534
TEST_0003,550.1936799510158
TEST_0004,-6.215433008519439
TEST_0005,655.3591630439506
TEST_0006,442.2982907953485
TEST_0007,-6.215433008519439
TEST_0008,-11.686471219934289
TEST_0009,998.3504212279386
TEST_0010,875.1133292643652
TEST_0011,982.2782597128003
TEST_0012,479.97495887583193
TEST_0013,826.2239645644189
TEST_0014,-12.078740521813444
TEST_0015,824.7661606795488
TEST_0016,879.2987870060862
TEST_0017,492.9553722958332
TEST_0018,530.6230600574468
TEST_0019,917.5248462414422
TEST_0020,612.1705907555815
TEST_0021,1165.4459860892184
TEST_0022,-12.078740521813444
TEST_0023,732.3911855602828
TEST_0024,-12.078740521813444
TEST_0025,630.7772298003104
TEST_0026,909.2397906989509
TEST_0027,1165.9492328933954
TEST_0028,44.55119093423703
TEST_0029,516.0850521263512
TEST_0030,-12.078740521813444
TEST_0031,928.562154700878
TEST_0032,747.4811157349824
TEST_0033,-6.215433008519439
TEST_0034,957.5865037152554
TEST_0035,-6.215433008519439
TEST_0036,-6.215433008519439
TEST_0037,649.9529581332648
TEST_0038,689.951869964684
TEST_0039,-6.215433008519439
TEST_0040,672.274127157355
TEST_0041,1747.530957542982
TEST_0042,695.1699489580524
TEST_0043,1100.9950514661402
TEST_0044,923.2404398455035
TEST_0045,1077.2580880589894
TEST_0046,1230.2853867266565
TEST_0047,717.506007680948
TEST_0048,485.1028613548256
TEST_0049,-12.078740521813444
TEST_0050,44.17125853793279
TEST_0051,423.32450954674005
TEST_0052,639.9473812291438
TEST_0053,544.634797017274
TEST_0054,505.1281767281828
TEST_0055,582.0209563932891
TEST_0056,791.4110992394698
TEST_0057,-12.078740521813444
TEST_0058,833.4377768619103
TEST_0059,906.6844252880483
TEST_0060,540.9512510000295
TEST_0061,931.3288172278923
TEST_0062,534.0068320846184
TEST_0063,169.27920751893802
TEST_0064,613.7552612069048
TEST_0065,372.33931738341346
TEST_0066,-12.078740521813444
TEST_0067,906.2634212242542
TEST_0068,834.9759061788916
TEST_0069,995.544600596871
TEST_0070,-11.686471219934289
TEST_0071,765.6681642931251
TEST_0072,875.852287031621
TEST_0073,730.8709839556233
TEST_0074,504.30093410118747
TEST_0075,437.84257627232455
TEST_0076,1051.8566710838386
TEST_0077,510.7931012088465
TEST_0078,1.5558648256294405
TEST_0079,528.3715858060777
TEST_0080,-6.215433008519439
TEST_0081,556.2338991508528
TEST_0082,45.83890186060663
TEST_0083,-13.10281160344131
TEST_0084,774.4753381721849
TEST_0085,1074.7113458172564
TEST_0086,1489.9546517906238
TEST_0087,603.9982960198088
TEST_0088,929.0623222244187
TEST_0089,-6.215433008519439
TEST_0090,1287.3225709367834
TEST_0091,-12.078740521813444
TEST_0092,592.1096194215692
TEST_0093,427.96040778099564
TEST_0094,1134.3385284429073
TEST_0095,434.96897425288233
TEST_0096,571.457645148369
TEST_0097,567.193239031995
TEST_0098,971.2492422530003
TEST_0099,559.7425687752101
TEST_0100,5.304296525860235
TEST_0101,433.89354894317205
TEST_0102,527.870390650443
TEST_0103,-12.334402258224342
TEST_0104,734.7850937452077
TEST_0105,-17.549778733228298
TEST_0106,858.6293522997092
TEST_0107,472.12081508086067
TEST_0108,1009.910186657548
TEST_0109,500.18281664581656
TEST_0110,5.304296525860235
TEST_0111,745.9837097753806
TEST_0112,-12.078740521813444
TEST_0113,1053.0592984882026
TEST_0114,502.94639710494926
TEST_0115,-6.215433008519439
TEST_0116,841.2394744373754
TEST_0117,547.2716023433992
TEST_0118,834.0147131772941
TEST_0119,593.3005324140952
TEST_0120,960.0270101586692
TEST_0121,823.1102699222861
TEST_0122,986.8579305438898
